instrument_short,datetime,change,vol,turnover_rate,volume_ratio,factor_x
1988.SH,2007-01-04,0.2,7281333.33,16.8115,1.67,5.63
1988.SH,2007-01-05,-0.56,7867306.84,15.1068,1.6,-0.5599999991097713
1988.SH,2007-01-08,0.01,5565756.49,10.6874,0.97,-0.007896006092086516
1988.SH,2007-01-09,0.1,4334458.33,8.323,0.68,0.05744397746353602
1988.SH,2007-01-10,-0.08,3721171.25,7.1454,0.59,-0.07579339642643923
1988.SH,2007-01-11,-0.17,3274026.49,6.2868,0.57,-0.1650916969230405
1988.SH,2007-01-12,-0.2,2329178.87,4.4725,0.47,-0.21197748453534704
1988.SH,2007-01-15,0.26,2487325.37,4.7762,0.65,0.24009570128151658
1988.SH,2007-01-16,-0.05,2595924.95,4.9847,0.8,-0.05637607534342681
1988.SH,2007-01-17,-0.06,2372504.49,4.5557,0.82,-0.04180237334345538
1988.SH,2007-01-18,-0.12,2036686.05,3.9108,0.78,-0.1258946823385001
1988.SH,2007-01-19,0.09,1769176.83,3.3972,0.75,0.08127492640878486
1988.SH,2007-01-22,0.17,3173484.46,6.0937,1.41,0.1639036044645481
1988.SH,2007-01-23,0.1,3452102.25,6.6287,1.44,0.11274355730661156
1988.SH,2007-01-24,-0.08,2447169.82,4.6991,0.96,-0.06353623208329928
1988.SH,2007-01-25,-0.25,2121921.49,4.0745,0.82,-0.2450916969272292
1988.SH,2007-01-26,0.06,2358565.88,4.5289,0.91,0.04527009082314315
1988.SH,2007-01-29,0.15,2801972.7,5.3803,1.03,0.13291249919511294
1988.SH,2007-01-30,-0.04,2600923.77,4.9943,0.99,-0.030242767168150664
1988.SH,2007-01-31,0.0,6066305.05,11.6485,2.46,0.010114879250847864
1988.SH,2007-02-01,-0.11,2574337.5,4.9432,0.81,-0.1130642910857853
1988.SH,2007-02-02,-0.19,2370241.23,4.5513,0.72,-0.19378458388232556
1988.SH,2007-02-05,-0.24,1966341.64,3.7758,0.6,-0.25496380900992666
1988.SH,2007-02-06,0.19,1733065.44,3.3278,0.56,0.16718734341744668
1988.SH,2007-02-07,0.04,2035883.07,3.9093,0.69,0.028151262009307843
1988.SH,2007-02-08,-0.05,1035017.82,1.9874,0.48,-0.034068405021676185
1988.SH,2007-02-09,-0.06,1081537.22,2.0768,0.59,-0.05865597431527192
1988.SH,2007-02-12,0.1,1032313.56,1.9822,0.66,0.09410531766149965
1988.SH,2007-02-13,0.0,972702.57,1.8678,0.7,-0.0011559058265628863
1988.SH,2007-02-14,0.11,1734879.77,3.3313,1.41,0.11766072771446279
1988.SH,2007-02-15,0.19,2563730.54,4.9229,2.19,0.19378458388232644
1988.SH,2007-02-16,0.01,2528834.0,4.8559,1.71,0.02496380900992623
1988.SH,2007-02-26,0.03,2145777.6,4.1203,1.21,0.044899435737690396
1988.SH,2007-02-27,-0.36,2948782.67,5.6622,1.48,-0.3582017679879197
1988.SH,2007-02-28,0.17,1733240.21,3.3282,0.73,0.15991230742672613
1988.SH,2007-03-01,-0.13,1353844.08,2.5996,0.57,-0.15172971740846997
1988.SH,2007-03-02,0.05,995587.82,1.9117,0.46,0.058550547071837045
1988.SH,2007-03-05,-0.03,1176291.87,2.2587,0.64,-0.03823868062774416
1988.SH,2007-03-06,0.16,2251768.09,4.3238,1.37,0.162798204616597
1988.SH,2007-03-07,0.02,1702601.0,3.2693,1.13,0.023206630969045072
1988.SH,2007-03-08,0.02,1314340.13,2.5238,0.88,0.03294527050356244
1988.SH,2007-03-09,0.16,4556638.18,8.7497,3.06,0.16222025170331555
1988.SH,2007-03-12,0.04,3143081.42,6.0353,1.43,0.04703699482627588
1988.SH,2007-03-13,-0.05,1916575.01,3.6802,0.74,-0.03636662333601404
1988.SH,2007-03-14,-0.12,1720108.42,3.303,0.68,-0.11865597431527242
1988.SH,2007-03-15,0.07,1424594.26,2.7355,0.56,0.06204099918023154
1988.SH,2007-03-16,0.02,2823527.78,5.4217,1.11,0.013215498304124829
1988.SH,2007-03-19,0.29,4129920.75,7.9303,1.87,0.2960506155605467
1988.SH,2007-03-20,0.0,2072982.41,3.9805,0.86,0.011509684869024817
1988.SH,2007-03-21,0.02,2187388.47,4.2002,0.9,0.04221611037194073
1988.SH,2007-03-22,-0.07,2288567.92,4.3945,0.91,-0.06931189383957648
1988.SH,2007-03-23,-0.04,2085987.67,4.0055,0.77,-0.04087622601858776
1988.SH,2007-03-26,0.02,1992180.2,3.8254,0.78,0.013261278279030009
1988.SH,2007-03-27,-0.04,2220792.45,4.2644,1.04,-0.042376184925362104
1988.SH,2007-03-28,0.15,4367971.68,8.3874,2.03,0.150155933222047
1988.SH,2007-03-29,0.34,7438492.3,14.2834,2.87,0.34209650511738676
1988.SH,2007-03-30,-0.12,3433943.13,6.5939,0.95,-0.09681110370111679
1988.SH,2007-04-02,0.1,2260526.42,4.3407,0.58,0.12191783726663541
1988.SH,2007-04-03,0.04,2177036.75,4.1803,0.55,0.03424765754475967
1988.SH,2007-04-04,-0.06,1997141.86,3.8349,0.51,-0.05096305996469219
1988.SH,2007-04-05,0.06,2152706.93,4.1336,0.62,0.06099997260451673
1988.SH,2007-04-06,-0.06,1875604.45,3.6015,0.78,-0.06253211814740922
1988.SH,2007-04-09,0.04,2409118.27,4.626,1.15,0.04253211814740876
1988.SH,2007-04-10,0.21,4565269.86,8.7662,2.15,0.20677977569216832
1988.SH,2007-04-11,0.0,3499464.23,6.7197,1.35,0.010289405770225635
1988.SH,2007-04-12,-0.05,3255847.89,6.2519,1.12,-0.03391247179962864
1988.SH,2007-04-13,-0.07,2749559.82,5.2797,0.88,-0.07172026540105758
1988.SH,2007-04-16,0.06,2297867.95,4.4124,0.7,0.05376126458128905
1988.SH,2007-04-17,-0.07,2775513.09,5.3295,0.85,-0.07329819091885525
1988.SH,2007-04-18,-0.08,2560773.29,4.9172,0.88,-0.0778119349328028
1988.SH,2007-04-19,-0.25,3128340.26,6.007,1.15,-0.2581149340418154
1988.SH,2007-04-20,0.1,2151690.35,4.1317,0.8,0.08527009082314319
1988.SH,2007-04-23,0.13,3297893.79,6.3326,1.28,0.11428871151595921
1988.SH,2007-04-24,-0.06,2836387.56,5.4464,1.02,-0.04786658224278906
1988.SH,2007-04-25,0.17,4183215.27,8.0326,1.5,0.17789462754753238
1988.SH,2007-04-26,-0.02,2344574.12,4.502,0.75,-0.018747534265082244
1988.SH,2007-04-27,-0.12,2174418.8,4.1753,0.73,-0.10766486904583683
1988.SH,2007-04-30,0.0,2116131.17,4.0634,0.71,-0.0056607825054300065
1988.SH,2007-05-08,0.04,2732546.97,5.247,1.0,0.030807126742645075
1988.SH,2007-05-09,0.44,7699752.85,14.7851,2.84,0.44137621232084534
1988.SH,2007-05-10,0.04,5016060.59,9.6318,1.47,0.05820262661508924
1988.SH,2007-05-11,-0.05,3170976.81,6.0889,0.8,-0.014916585735520016
1988.SH,2007-05-14,0.04,2721419.61,5.2257,0.66,0.041344025684727725
1988.SH,2007-05-15,-0.28,3290134.9,6.3177,0.77,-0.28245415153638564
